Mesto;Latitude;Longitude;Opis;Tip;Tip_ID
Berqat;40.70366;19.95251;P ob reki Osum, mesto tisocerih oken, staro mestno jedro UNESCO, vredno ogleda;P;Unesco
Pashalli;40.77816;19.85840;Vinoteka Cobo, izvrstna vina, degustacija 6 vrst vina, rakija, siri, olive, popecen kruh 1400 Lekov/os;Z;Zanimivo
Drac;41.52177;19.51608;Plaza San Pietro;Z;Zanimivo
Fushe Kruje;41.47075;19.69855;KAMP Nord, hotel, ki ponuja tudi kampiranje na njihovem dvoriscu, bazen, spanje, urejeno ter precej nad nivojem okolice;KAMP;KAMP
Kruja;41.51119;19.79312;P Kruja, 200m nad centrom mesta, spanje, voda iz avtopralnice, S od Tirane;P-V;PZA
Kruje;41.52165;19.78530;Avtokamp Kruje, 10E, slaba namestitev, <a href=http://www.facebook.com/Kruje-Camping-704901002926435 target=_blank>more info...</a>;KAMP;KAMP
Thumane;41.55805;19.67292;P ob hotelu Europa ob AC, kjer je oznacen tudi PZA brez oskrbe;P;Parking
Elbasan;41.11166;20.07943;P, brezplacno;P;Parking
Qukes;41.08059;20.45755;Avtopralnica ob cesti, poceni;AD;Avtodom
Apollonija;40.72142;19.47022;P, ostanki anticnega mesta, blizu mesta Fier, mozno tudi spanje;P;Parking
Darezeze;40.71434;19.36661;P plaza Darezeze, mivkasta plaza, leseni mosticki, ki povezujejo reko z morjem, v blizini je kar lepo urejen camp, kot nalasc za lenarjenje, poleti guzva, marele, bari;P-Z;Parking
Gjirokaster;40.06944;20.13333;Historic Centres of Berat and Gjirokastra, UNESCO Kulturna dediscina;Z;Unesco
Gjirokaster;40.07477;20.14005;P, rahlo visi, na trgu pod gradom, UNESCO, grad 6.stol. 200lekov, vojaski muzej z zbirko starih topov in pusk;P;Unesco
Gjirokaster;40.10134;20.15068;Kamp Gjirokaster, <a href=http://camping-gjirokaster.business.site/ target=_blank>more info...</a>;KAMP;KAMP
Gjirokaster;40.10151;20.12723;P ob manjsem jezeru Viroi, ob katerem je park z gostisci, igrisci in drevoredom, desno za nasipom je vstop na podrocje parka skozi vhod, ki je zadosti visok tudi za avtobuse.;P;Parking
Permet;40.25614;20.46292;Blizu Permet, kamniti most, termalna voda, kanjon, moznost spanja;Z;Zanimivo
Drilon;40.90120;20.70980;Camping ARBI, dober in lep kamp;KAMP;KAMP
